miRNA Name	Gene Symbol
hsa-miR-940	PSMD11
hsa-miR-940	TERF1
hsa-miR-940	CDR2L
hsa-miR-940	CYBRD1
hsa-miR-940	TTBK1
hsa-miR-940	MGAT1
hsa-miR-940	SYNJ2BP-COX16
hsa-miR-940	SLC35E2
hsa-miR-940	ZNF605
hsa-miR-940	CCDC14
hsa-miR-940	ATG9B
hsa-miR-940	GNAT1
hsa-miR-940	TAGLN
hsa-miR-940	SUPT4H1
hsa-miR-940	NEO1
hsa-miR-940	TMEM198
hsa-miR-940	ZKSCAN3
hsa-miR-940	RAB6B
hsa-miR-940	DVL3
hsa-miR-940	FGFRL1
hsa-miR-940	IGF1
hsa-miR-940	CASC4
hsa-miR-940	SYNGR1
hsa-miR-940	NAAA
hsa-miR-940	DUOXA1
hsa-miR-940	FAM204A
hsa-miR-940	TRAF1
hsa-miR-940	DLG2
hsa-miR-940	LRRC38
hsa-miR-940	RNF135
hsa-miR-940	PLEC
hsa-miR-940	ERF
hsa-miR-940	DKKL1
hsa-miR-940	KIF21B
hsa-miR-940	B3GALT5
hsa-miR-940	MATN2
hsa-miR-940	GPI
hsa-miR-940	ERCC6
hsa-miR-940	STON2
hsa-miR-940	ECE2
hsa-miR-940	CDKL1
hsa-miR-940	KIAA0101
hsa-miR-940	USP19
hsa-miR-940	PVRL2
hsa-miR-940	CHDH
hsa-miR-940	CHMP7
hsa-miR-940	IQCE
hsa-miR-940	ORC4
hsa-miR-940	EPHA10
hsa-miR-940	EXPH5
hsa-miR-940	ZNF225
hsa-miR-940	MAFG
hsa-miR-940	USP28
hsa-miR-940	TTC26
hsa-miR-940	BRPF3
hsa-miR-940	CACNB1
hsa-miR-940	SLC30A4
hsa-miR-940	PPP1R15B
hsa-miR-940	TIRAP
hsa-miR-940	HSPA14
hsa-miR-940	STRA6
hsa-miR-940	NEDD4
hsa-miR-940	TRIAP1
hsa-miR-940	PTMS
hsa-miR-940	MKNK2
hsa-miR-940	ZDHHC19
hsa-miR-940	DARS
hsa-miR-940	ALDH3B1
hsa-miR-940	RNFT2
hsa-miR-940	RAD21
hsa-miR-940	PPME1
hsa-miR-940	NOL9
hsa-miR-940	GRK1
hsa-miR-940	TXNRD2
hsa-miR-940	N4BP1
hsa-miR-940	ERCC8
hsa-miR-940	C10orf67
hsa-miR-940	B4GALT2
hsa-miR-940	UGGT1
hsa-miR-940	SOGA1
hsa-miR-940	MYCL
hsa-miR-940	CHAC1
hsa-miR-940	PKLR
hsa-miR-940	SMG5
hsa-miR-940	NOD1
hsa-miR-940	GSDMA
hsa-miR-940	CSNK1G1
hsa-miR-940	UBQLNL
hsa-miR-940	STARD3NL
hsa-miR-940	ASB6
hsa-miR-940	FAM53C
hsa-miR-940	FBXL18
hsa-miR-940	KIAA1324
hsa-miR-940	CELF6
hsa-miR-940	RIMS4
hsa-miR-940	STK35
hsa-miR-940	RPL15
hsa-miR-940	FHDC1
hsa-miR-940	KCTD10
hsa-miR-940	RHD
hsa-miR-940	DCK
hsa-miR-940	TRAIP
hsa-miR-940	LOC101926980
hsa-miR-940	LETM2
hsa-miR-940	FAM107A
hsa-miR-940	JPH3
hsa-miR-940	NSD1
hsa-miR-940	TRIM9
hsa-miR-940	PAQR4
hsa-miR-940	RIC3
hsa-miR-940	CTF1
hsa-miR-940	SLK
hsa-miR-940	MTHFD2L
hsa-miR-940	UGT2A1
hsa-miR-940	RNF216
hsa-miR-940	MST4
hsa-miR-940	SRGAP3
hsa-miR-940	TMEM151B
hsa-miR-940	KRT77
hsa-miR-940	TRAF3IP1
hsa-miR-940	CRTC1
hsa-miR-940	FA2H
hsa-miR-940	AKR7A2
hsa-miR-940	MTSS1L
hsa-miR-940	ZNF398
hsa-miR-940	SHC2
hsa-miR-940	MAVS
hsa-miR-940	GNG7
hsa-miR-940	SHC1
hsa-miR-940	CTNS
hsa-miR-940	NANOG
hsa-miR-940	RGP1
hsa-miR-940	SLC45A4
hsa-miR-940	PRIMA1
hsa-miR-940	PTGS1
hsa-miR-940	LZTS3
hsa-miR-940	HOOK3
hsa-miR-940	PPP1R9A
hsa-miR-940	EPM2A
hsa-miR-940	FLCN
hsa-miR-940	DDC
hsa-miR-940	PGR
hsa-miR-940	ETV5
hsa-miR-940	GGCX
hsa-miR-940	PALM2
hsa-miR-940	EXOSC6
hsa-miR-940	C1orf95
hsa-miR-940	IQSEC3
hsa-miR-940	PARD3B
hsa-miR-940	CDK2AP2
hsa-miR-940	KDM4B
hsa-miR-940	SFMBT2
hsa-miR-940	RPH3A
hsa-miR-940	PDPN
hsa-miR-940	ZBTB5
hsa-miR-940	GRIK3
hsa-miR-940	PLA2G3
hsa-miR-940	RNF121
hsa-miR-940	NAT8L
hsa-miR-940	CYB561A3
hsa-miR-940	LOC102723475
hsa-miR-940	KCNE1
hsa-miR-940	CCDC60
hsa-miR-940	SLCO2A1
hsa-miR-940	PTPN9
hsa-miR-940	LRTOMT
hsa-miR-940	COL18A1
hsa-miR-940	WRB
hsa-miR-940	TOB2
hsa-miR-940	UTP15
hsa-miR-940	PLAC4
hsa-miR-940	TANC2
hsa-miR-940	OPHN1
hsa-miR-940	ZFHX2
hsa-miR-940	GYPA
hsa-miR-940	8-Mar
hsa-miR-940	FTO
hsa-miR-940	RBM18
hsa-miR-940	PXT1
hsa-miR-940	ORAOV1
hsa-miR-940	NAV2
hsa-miR-940	SC5D
hsa-miR-940	GTF2H5
hsa-miR-940	CR1
hsa-miR-940	C1orf21
hsa-miR-940	NES
hsa-miR-940	SUSD5
hsa-miR-940	CORO7
hsa-miR-940	ELOVL2
hsa-miR-940	NCKAP5L
hsa-miR-940	MYPOP
hsa-miR-940	PIK3AP1
hsa-miR-940	SLC27A1
hsa-miR-940	TRIM16
hsa-miR-940	METTL13
hsa-miR-940	FGD1
hsa-miR-940	TMEM127
hsa-miR-940	FAM53B
hsa-miR-940	TRIM68
hsa-miR-940	YWHAZ
hsa-miR-940	PNMA2
hsa-miR-940	DAAM2
hsa-miR-940	CALU
hsa-miR-940	CHRNB4
hsa-miR-940	DLG5
hsa-miR-940	PEX26
hsa-miR-940	TRIM67
hsa-miR-940	WDR55
hsa-miR-940	TMEM180
hsa-miR-940	CSF3R
hsa-miR-940	AHCYL2
hsa-miR-940	SCUBE3
hsa-miR-940	CABP2
hsa-miR-940	MTNR1B
hsa-miR-940	MKS1
hsa-miR-940	C12orf77
hsa-miR-940	GAL3ST3
hsa-miR-940	GLRX3
