GFRA1 	hsa-miR-15b-5p
IPO8 	hsa-miR-15b-5p
UBN2 	hsa-miR-20a-5p
UBN2 	hsa-miR-15b-5p
SEPT2 	hsa-miR-181c-5p
SEPT2 	hsa-miR-15b-5p
SEPT2 	hsa-miR-340-5p
FAM136A 	hsa-miR-340-5p
TULP4 	hsa-miR-20a-5p
SLC7A2 	hsa-miR-27b-3p
AKAP10 	hsa-miR-15b-5p
SGTB 	hsa-miR-20a-5p
UBAP2L 	hsa-miR-96-5p
NSF 	hsa-miR-15b-5p
MRPL28 	hsa-miR-96-5p
ENPP4 	hsa-miR-20a-5p
OCRL 	hsa-miR-340-5p
ZNF644 	hsa-miR-181c-5p
KLHL9 	hsa-miR-20a-5p
SYNGAP1 	hsa-miR-15b-5p
UGT2B15 	hsa-miR-20a-5p
S100Z 	hsa-miR-96-5p
NFKBIL1 	hsa-miR-15b-5p
ARCN1 	hsa-miR-20a-5p
RBBP7 	hsa-miR-20a-5p
CKAP4 	hsa-miR-20a-5p
PTEN 	hsa-miR-141-3p
TGFBR2 	hsa-miR-20a-5p
BAP1 	hsa-miR-200c-3p
BAP1 	hsa-miR-141-3p
WDR37 	hsa-miR-141-3p
WDR37 	hsa-miR-200c-3p
RHOB 	hsa-miR-223-3p
FOXO1 	hsa-miR-96-5p
GATA6 	hsa-miR-181c-5p
ZFPM2 	hsa-miR-200c-3p
MUC17 	hsa-miR-20a-5p
VEGFA 	hsa-miR-15b-5p
PTEN 	hsa-miR-20a-5p
ZFPM2 	hsa-miR-141-3p
ST14 	hsa-miR-27b-3p
VEGFA 	hsa-miR-134
SPP1 	hsa-miR-299-5p
HTR1B 	hsa-miR-96-5p
VEGFA 	hsa-miR-20a-5p
TGFBR2 	hsa-miR-20a-5p
SECISBP2L 	hsa-miR-15b-5p
GOLPH3 	hsa-miR-20a-5p
FOXF2 	hsa-miR-20a-5p
GATA6 	hsa-miR-27b-3p
ZNF30 	hsa-miR-181c-5p
KPNB1 	hsa-miR-27b-3p
QPCT 	hsa-miR-15b-5p
SLMO2 	hsa-miR-769-5p
RANBP6 	hsa-miR-15b-5p
ARF4 	hsa-miR-96-5p
LYSMD3 	hsa-miR-27b-3p
SETD1A 	hsa-miR-769-5p
VPS72 	hsa-miR-20a-5p
VPS72 	hsa-miR-15b-5p
CBX3 	hsa-miR-20a-5p
CBX3 	hsa-miR-181c-5p
FAM129A 	hsa-miR-20a-5p
PATL1 	hsa-miR-769-5p
VBP1 	hsa-miR-181c-5p
CAPRIN2 	hsa-miR-340-5p
CCDC137 	hsa-miR-20a-5p
KATNAL1 	hsa-miR-20a-5p
CCNG2 	hsa-miR-20a-5p
NKIRAS2 	hsa-miR-96-5p
HMMR 	hsa-miR-27b-3p
TET2 	hsa-miR-20a-5p
H1F0 	hsa-miR-181c-5p
ZNF146 	hsa-miR-769-5p
ZNF146 	hsa-miR-340-5p
GATAD2A 	hsa-miR-27b-3p
NUPL1 	hsa-miR-27b-3p
FNDC3A 	hsa-miR-15b-5p
MAPK1 	hsa-miR-20a-5p
